번호,발생시각,년,월 ,일,규모,위도,경도,위치,위도(숫자)
252,2016-12-25,2016,12,25,2.4,35.25 N,129.39 E,부산 기장군 동쪽 15km 해역,35.25 
251,2016-12-23,2016,12,23,2.2,36.12 N,129.36 E,경북 포항시 북구 북쪽 9km 지역,36.12 
250,2016-12-22,2016,12,22,2.2,34.45 N,128.54 E,경남 통영시 매물도 남쪽 22km 해역,34.45 
249,2016-12-15,2016,12,15,2.1,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,35.76 
248,2016-12-14,2016,12,14,3.3,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역,35.76 
247,2016-12-14,2016,12,14,2.1,36.54 N,128.08 E,경북 상주시 북북서쪽 16km 지역,36.54 
246,2016-12-12,2016,12,12,3.3,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
245,2016-12-12,2016,12,12,2.2,35.76 N,129.18 E,경북 경주시 남남서쪽 9km 지역,35.76 
244,2016-12-11,2016,12,11,2.6,36.07 N,125.57 E,충남 태안군 서격렬비도 남쪽 59km 해역,36.07 
243,2016-12-10,2016,12,10,2,37.63 N,129.68 E,강원 삼척시 동북동쪽 50km 해역,37.63 
242,2016-12-10,2016,12,10,2.1,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역,35.77 
241,2016-12-09,2016,12,9,2.4,35.69 N,129.36 E,경북 경주시 남동쪽 21km 지역,35.69 
240,2016-12-07,2016,12,7,2.4,37.18 N,125.48 E,인천 옹진군 연평도 남남서쪽 57km 해역,37.18 
239,2016-12-05,2016,12,5,2.1,35.81 N,129.72 E,경북 포항시 남구 남동쪽 39km 해역,35.81 
238,2016-12-05,2016,12,5,2.1,35.77 N,129.18 E,경북 경주시 남남서쪽 8km 지역,35.77 
237,2016-12-02,2016,12,2,2.1,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,35.76 
236,2016-11-29,2016,11,29,2.9,33.40 N,125.72 E,제주 제주시 고산 서북서쪽 43km 해역,33.40 
235,2016-11-28,2016,11,28,2.2,38.49 N,126.14 E,북한 황해북도 평산군 북서쪽 28km 지역,38.49 
234,2016-11-28,2016,11,28,2.4,35.77 N,129.19 E,경북 경주시 남남서쪽 8km 지역,35.77 
233,2016-11-27,2016,11,27,2.2,36.02 N,127.39 E,충남 금산군 남서쪽 13km 지역,36.02 
232,2016-11-27,2016,11,27,2.5,36.34 N,127.33 E,대전 유성구 남서쪽 3km 지역,36.34 
231,2016-11-25,2016,11,25,2.3,35.75 N,129.17 E,경북 경주시 남남서쪽 11km 지역,35.75 
230,2016-11-19,2016,11,19,2.1,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,35.76 
229,2016-11-18,2016,11,18,2,35.51 N,128.09 E,경남 합천군 남서쪽 9km 지역,35.51 
228,2016-11-16,2016,11,16,2.1,34.86 N,125.08 E,전남 신안군 흑산면 서북서쪽 43km 해역,34.86 
227,2016-11-15,2016,11,15,2,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,35.76 
226,2016-11-15,2016,11,15,2.5,38.35 N,128.09 E,북한 강원도 금강군 남남동쪽 29km 지역,38.35 
225,2016-11-13,2016,11,13,3.5,36.36 N,126.63 E,충남 보령시 북북동쪽 4km 지역,36.36 
224,2016-11-13,2016,11,13,2.3,38.76 N,125.66 E,북한 황해북도 송림시 북동쪽 3km 지역,38.76 
223,2016-11-10,2016,11,10,2.5,36.46 N,129.89 E,경북 영덕군 동쪽 47km 해역,36.46 
222,2016-11-09,2016,11,9,2.3,36.55 N,129.60 E,경북 영덕군 북동쪽 26km 해역,36.55 
221,2016-11-08,2016,11,8,2.3,36.18 N,128.50 E,경북 구미시 동북동쪽 15km 지역,36.18 
220,2016-11-06,2016,11,6,3.5,33.76 N,125.07 E,전남 신안군 흑산면 남남서쪽 106km 해역,33.76 
219,2016-11-03,2016,11,3,2.6,35.32 N,128.49 E,경남 함안군 북동쪽 9km 지역,35.32 
218,2016-11-03,2016,11,3,2.3,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,35.76 
217,2016-11-03,2016,11,3,2.3,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,35.76 
216,2016-11-03,2016,11,3,2.1,35.75 N,129.18 E,경북 경주시 남남서쪽 10km 지역,35.75 
215,2016-11-02,2016,11,2,2.3,33.53 N,126.88 E,제주 제주시 동쪽 33km 지역,33.53 
214,2016-10-25,2016,10,25,2.4,35.70 N,129.37 E,경북 경주시 남동쪽 21km 지역,35.70 
213,2016-10-25,2016,10,25,2,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,35.76 
212,2016-10-24,2016,10,24,2.2,37.25 N,127.02 E,경기 수원시 권선구 동쪽 4km 지역,37.25 
211,2016-10-23,2016,10,23,2.7,35.78 N,129.20 E,경북 경주시 남남서쪽 7km 지역,35.78 
210,2016-10-21,2016,10,21,2.6,35.75 N,129.17 E,경북 경주시 남남서쪽 11km 지역,35.75 
209,2016-10-21,2016,10,21,2.2,36.46 N,126.87 E,충남 청양군 동쪽 6km 지역,36.46 
208,2016-10-20,2016,10,20,2.4,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,35.76 
207,2016-10-15,2016,10,15,2.2,35.76 N,129.17 E,경북 경주시 남남서쪽 10km 지역,35.76 
206,2016-10-15,2016,10,15,2.5,35.74 N,129.18 E,경북 경주시 남남서쪽 11km 지역,35.74 
205,2016-10-14,2016,10,14,2.3,35.76 N,129.19 E,경북 경주시 남남서쪽 9km 지역,35.76 
